Date(UTC),UnixTimeStamp,Value,Value (Wei),DateTime,Average Txn Fee (USD),Average Txn Fee Per(MATIC),GasPriceValue (USD),AvgTotalAmountGasFee
2023-11-05,1699142400,2208786,122060182504.0,2023-11-05 00:00:00Z,0.01,0,6.9690821602148105,6.97908216021481
2023-11-06,1699228800,2454958,177069145882.0,2023-11-06 00:00:00Z,0.01,0,10.109844179941977,10.119844179941976
2023-11-07,1699315200,2425689,253027306071.0,2023-11-07 00:00:00Z,0.01,0,14.446710209767481,14.456710209767481
2023-11-08,1699401600,2311451,285734754056.0,2023-11-08 00:00:00Z,0.02,0,16.314156969081868,16.334156969081867
2023-11-09,1699488000,2466033,380143526737.0,2023-11-09 00:00:00Z,0.02,0,21.704469190164865,21.724469190164864
2023-11-10,1699574400,2274095,312605027828.0,2023-11-10 00:00:00Z,0.02,0,17.84832758674743,17.86832758674743
2023-11-11,1699660800,2351770,174444973732.0,2023-11-11 00:00:00Z,0.01,0,9.960015866230433,9.970015866230433
2023-11-12,1699747200,2508647,158455998388.0,2023-11-12 00:00:00Z,0.02,0,9.047117978122385,9.067117978122385
2023-11-13,1699833600,2859740,201135342632.0,2023-11-13 00:00:00Z,0.02,0,11.483914732631414,11.503914732631413
2023-11-14,1699920000,2892351,254462450695.0,2023-11-14 00:00:00Z,0.03,0,14.528650450976926,14.558650450976925
2023-11-15,1700006400,6171964,251904543805.0,2023-11-15 00:00:00Z,0.01,0,14.382605582708722,14.392605582708722
2023-11-16,1700092800,16449264,2033238298461.0,2023-11-16 00:00:00Z,0.01,0,116.08867414896515,116.09867414896516
2023-11-17,1700179200,7473473,1024757036937.0,2023-11-17 00:00:00Z,0.01,0,58.50897350934406,58.51897350934406
2023-11-18,1700265600,3242239,88971803443.0,2023-11-18 00:00:00Z,0.01,0,5.07988596622351,5.08988596622351
2023-11-19,1700352000,3709501,80812956718.0,2023-11-19 00:00:00Z,0.01,0,4.614052866578085,4.624052866578085
2023-11-20,1700438400,3298554,106155543689.0,2023-11-20 00:00:00Z,0.01,0,6.060999504950518,6.070999504950517
2023-11-21,1700524800,2750052,128761207714.0,2023-11-21 00:00:00Z,0.01,0,7.351680271147754,7.361680271147754
2023-11-22,1700611200,2694721,144291683043.0,2023-11-22 00:00:00Z,0.02,0,8.238399890393312,8.258399890393312
2023-11-23,1700697600,7871228,271096866013.0,2023-11-23 00:00:00Z,0.0,0,15.478400030734262,15.478400030734262
2023-11-24,1700784000,16229568,663033311959.0,2023-11-24 00:00:00Z,0.0,0,37.85619135749026,37.85619135749026
2023-11-25,1700870400,5114850,228870258928.0,2023-11-25 00:00:00Z,0.01,0,13.06745251217857,13.077452512178569
2023-11-26,1700956800,7027954,165655367177.0,2023-11-26 00:00:00Z,0.0,0,9.458169244497338,9.458169244497338
2023-11-27,1701043200,8224510,82495598419.0,2023-11-27 00:00:00Z,0.0,0,4.710124067029455,4.710124067029455
2023-11-28,1701129600,10702945,125771002432.0,2023-11-28 00:00:00Z,0.0,0,7.180953127711906,7.180953127711906
2023-11-29,1701216000,11433069,174911100471.0,2023-11-29 00:00:00Z,0.0,0,9.986629586401282,9.986629586401282
2023-11-30,1701302400,15068285,435316296623.0,2023-11-30 00:00:00Z,0.0,0,24.854583817672975,24.854583817672975
2023-12-01,1701388800,5335008,239643639142.0,2023-12-01 00:00:00Z,0.01,0,13.68256360176045,13.69256360176045
2023-12-02,1701475200,4745575,65950960305.0,2023-12-02 00:00:00Z,0.01,0,3.7655003579529187,3.7755003579529185
2023-12-03,1701561600,1566342,73519529157.0,2023-12-03 00:00:00Z,0.0,0,4.1976312714316215,4.1976312714316215
2023-12-04,1701648000,5861156,121611418329.0,2023-12-04 00:00:00Z,0.01,0,6.943459763607027,6.953459763607027
2023-12-05,1701734400,5662922,139569489208.0,2023-12-05 00:00:00Z,0.01,0,7.968784065335075,7.978784065335075
2023-12-06,1701820800,7941903,156608023392.0,2023-12-06 00:00:00Z,0.0,0,8.941606997285332,8.941606997285332
2023-12-07,1701907200,10463616,207155064468.0,2023-12-07 00:00:00Z,0.0,0,11.827613514626503,11.827613514626503
2023-12-08,1701993600,13603659,625585325170.0,2023-12-08 00:00:00Z,0.01,0,35.71808135869006,35.728081358690055
2023-12-09,1702080000,5332236,172980960997.0,2023-12-09 00:00:00Z,0.01,0,9.876427386969548,9.886427386969547
2023-12-10,1702166400,5122122,101731429683.0,2023-12-10 00:00:00Z,0.01,0,5.808402684583149,5.818402684583149
2023-12-11,1702252800,5623556,438238808555.0,2023-12-11 00:00:00Z,0.01,0,25.02144597821127,25.03144597821127
2023-12-12,1702339200,7777804,157633649918.0,2023-12-12 00:00:00Z,0.01,0,9.000165614671927,9.010165614671926
2023-12-13,1702425600,9483888,259346232574.0,2023-12-13 00:00:00Z,0.01,0,14.807492219595483,14.817492219595483
2023-12-14,1702512000,8082825,239586271727.0,2023-12-14 00:00:00Z,0.01,0,13.679288182862553,13.689288182862553
